Processes
"Ethylene production, from bio-ethanol dehydration"
"Ethylene dichloride-vinyl chloride monomer, EDC-VCM; from bio-ethylene"
"Ethylene glycol, hydration of bio-ethanol"
"Propylene production, ethanol dehydration and metathesis"
"PTA Production, from cyclohexa"
"Styrene production, corn stover"
Fermentation CO2 Capture
Plastic Incineration CO2 Capture
Steam Cracker CO2 Capture
"Microplastics, HDPE, Filtration"
"Microplastics, LDPE, Filtration"
"Microplastics, multimaterial food bottles, Filtration"
"Microplastics, multimaterial food packaging film, Filtration"
"Microplastics, multimaterial non-food packaging film, Filtration"
"Microplastics, PET, Filtration"
"Microplastics, PP, Filtration"
"Microplastics, PS, Filtration"
"Microplastics, PVC, Filtration"
"Ethanol production, corn stover, biochemical"
"Ethanol production, forest residues, thermochem"
"Ethanol production, switchgrass, biochemical"
"Ethanol production, sugarcane"
"Glucose, from corn stover (residues)"
"Glucose, from forrest residues (woody)"
"Glucose, from sugarcane"
"Glucose, from switchgrass"
"Pyrolysis, HDPE Drinking Bottles"
"Pyrolysis, HDPE Food Bottles"
"Pyrolysis, HDPE Non-food Bottles"
"Pyrolysis, HDPE Other Food Rigid"
"Pyrolysis, HDPE Other Non-food Rigid"
"Pyrolysis, LDPE Food Packaging Film (med-large format)"
"Pyrolysis, LDPE Food Packaging Film (small format)"
"Pyrolysis, LDPE Non-food Packaging Films"
"STRAP, Multi-material Food Bottles (Flakes)"
"Delamination, Multi-material Food Packaging Film (med-large format) (Flakes)"
"STRAP, Multi-material Food Packaging Film (small format) (Flakes)"
"Delamination, Multi-material Non-food Packaging Film (Flakes)"
"Mechanical Recycling, PET Drinking Bottles (Flakes)"
"Mechanical Recycling, PET Food Bottles (Flakes)"
"Depolymerization, Enzymatic Hydrolysis, PET Non-food Bottles (Flakes)"
"Depolymerization, Enzymatic Hydrolysis, PET Other Food Rigid (Flakes)"
"Depolymerization, Enzymatic Hydrolysis, PET Other Non-food Rigid (Flakes)"
"Mechanical Recycling, PP Food Bottles (Flakes)"
"Pyrolysis, PP Food Packaging Film (med-large format)"
"Mechanical Recycling, PP Food Packaging Film (small format) (Flakes)"
"Mechanical Recycling, PP Non-food Bottles (Flakes)"
"Pyrolysis, PP Non-food Packaging Films"
"Mechanical Recycling, PP Other Food Rigid (Flakes)"
"Mechanical Recycling, PP Other Non-food Rigid (Flakes)"
"Mechanical Recycling, PS Other Food Rigid (Flakes)"
"High-tech Sorting, Collected HDPE Drinking Bottles"
"Low-tech Sorting, Collected HDPE Drinking Bottles"
"Low-tech Sorting, Collected HDPE Food Bottles"
"High-tech Sorting, Collected HDPE Food Bottles"
"Low-tech Sorting, Collected HDPE Non-food Bottles"
"High-tech Sorting, Collected HDPE Non-food Bottles"
"Low-tech Sorting, Collected HDPE Other Food Rigid"
"High-tech Sorting, Collected HDPE Other Food Rigid"
"Low-tech Sorting, Collected HDPE Other Non-food Rigid"
"High-tech Sorting, Collected HDPE Other Non-food Rigid"
"Low-tech Sorting, Collected LDPE Food Packaging Film (med-large format)"
"High-tech Sorting, Collected LDPE Food Packaging Film (med-large format)"
"Low-tech Sorting, Collected LDPE Food Packaging Film (small format)"
"High-tech Sorting, Collected LDPE Food Packaging Film (small format)"
"Low-tech Sorting, Collected LDPE Non-food Packaging Film"
"High-tech Sorting, Collected LDPE Non-food Packaging Film"
"Low-tech Sorting, Collected Multi-material Food Bottles"
"High-tech Sorting, Collected Multi-material Food Bottles"
"Low-tech Sorting, Collected Multi-material Food Packaging Film (med-large format)"
"High-tech Sorting, Collected Multi-material Food Packaging Film (med-large format)"
"Low-tech Sorting, Collected Multi-material Food Packaging Film (small format)"
"High-tech Sorting, Collected Multi-material Food Packaging Film (small format)"
"Low-tech Sorting, Collected Multi-material Non-food Packaging Film"
"High-tech Sorting, Collected Multi-material Non-food Packaging Film"
"Low-tech Sorting, Collected PET Drinking Bottles"
"High-tech Sorting, Collected PET Drinking Bottles"
"Low-tech Sorting, Collected PET Food Bottles"
"High-tech Sorting, Collected PET Food Bottles"
"Low-tech Sorting, Collected PET Non-food Bottles"
"High-tech Sorting, Collected PET Non-food Bottles"
"Low-tech Sorting, Collected PET Other Food Rigid"
"High-tech Sorting, Collected PET Other Food Rigid"
"Low-tech Sorting, Collected PET Other Non-Food Rigid"
"High-tech Sorting, Collected PET Other Non-Food Rigid"
"Low-tech Sorting, Collected PP Food Bottles"
"High-tech Sorting, Collected PP Food Bottles"
"Low-tech Sorting, Collected PP Food Packaging Film (med-large format)"
"High-tech Sorting, Collected PP Food Packaging Film (med-large format)"
"Low-tech Sorting, Collected PP Food Packaging Film (small format)"
"High-tech Sorting, Collected PP Food Packaging Film (small format)"
"Low-tech Sorting, Collected PP Non-food Bottles"
"High-tech Sorting, Collected PP Non-food Bottles"
"Low-tech Sorting, Collected PP Non-food Packaging Film"
"High-tech Sorting, Collected PP Non-food Packaging Film"
"Low-tech Sorting, Collected PP Other Food Rigid"
"High-tech Sorting, Collected PP Other Food Rigid"
"Low-tech Sorting, Collected PP Other Non-food Rigid"
"High-tech Sorting, Collected PP Other Non-food Rigid"
"Low-tech Sorting, Collected PS Other Food Rigid"
"High-tech Sorting, Collected PS Other Food Rigid"
"Low-tech Sorting, Collected PVC Other Food Rigid"
"High-tech Sorting, Collected PVC Other Food Rigid"
"Low-tech Sorting, Collected PVC Other Non-food Rigid"
"High-tech Sorting, Collected PVC Other Non-food Rigid"
"Heat, Electric Heater"
